concept_cd,concept_path,name_char,concept_blob,update_date,download_date,import_date,sourcesystem_cd,upload_id,table_name
C16.2:Frozen Cell Block,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Frozen Cell Block\,Body of stomach:Frozen Cell Block,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Cryopreserved Cells,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Cryopreserved Cells\,Body of stomach:Cryopreserved Cells,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Slide,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Slide\,Body of stomach:Slide,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Whole Bone Marrow,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Whole Bone Marrow\,Body of stomach:Whole Bone Marrow,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Total Nucleic Acid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Total Nucleic Acid\,Ileum:Total Nucleic Acid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Whole Genome Amplified DNA,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Whole Genome Amplified DNA\,Ileum:Whole Genome Amplified DNA,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Frozen Cell Pellet,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Frozen Cell Pellet\,Ileum:Frozen Cell Pellet,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Fixed Cell Block,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Fixed Cell Block\,Ileum:Fixed Cell Block,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Frozen Cell Block,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Frozen Cell Block\,Ileum:Frozen Cell Block,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Cryopreserved Cells,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Cryopreserved Cells\,Ileum:Cryopreserved Cells,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Plasma,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Plasma\,Ileum:Plasma,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Body Cavity Fluid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Body Cavity Fluid\,Ileum:Body Cavity Fluid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Plasma,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Plasma\","Overlapping lesion of rectum, anus and anal canal:Plasma",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Body Cavity Fluid,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Body Cavity Fluid\","Overlapping lesion of rectum, anus and anal canal:Body Cavity Fluid",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Whole Blood,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Whole Blood\","Overlapping lesion of rectum, anus and anal canal:Whole Blood",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Vitreous Fluid,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Vitreous Fluid\","Overlapping lesion of rectum, anus and anal canal:Vitreous Fluid",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Gastric Fluid,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Gastric Fluid\","Overlapping lesion of rectum, anus and anal canal:Gastric Fluid",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.4:Fixed Tissue Slide,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Pylorus\Pylorus:Fixed Tissue Slide\,Pylorus:Fixed Tissue Slide,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.4:Frozen Tissue Slide,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Pylorus\Pylorus:Frozen Tissue Slide\,Pylorus:Frozen Tissue Slide,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.4:Fresh Tissue,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Pylorus\Pylorus:Fresh Tissue\,Pylorus:Fresh Tissue,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.4:Microdissected,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Pylorus\Pylorus:Microdissected\,Pylorus:Microdissected,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.4:Frozen Tissue,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Pylorus\Pylorus:Frozen Tissue\,Pylorus:Frozen Tissue,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
"C16.0:RNA, poly-A enriched","\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:RNA, poly-A enriched\","Cardia, NOS:RNA, poly-A enriched",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
"C16.0:RNA, nuclear","\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:RNA, nuclear\","Cardia, NOS:RNA, nuclear",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Whole Blood,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Whole Blood\,Body of stomach:Whole Blood,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Vitreous Fluid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Vitreous Fluid\,Body of stomach:Vitreous Fluid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Gastric Fluid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Gastric Fluid\,Body of stomach:Gastric Fluid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Serum,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Serum\,Body of stomach:Serum,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Amniotic Fluid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Amniotic Fluid\,Body of stomach:Amniotic Fluid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Whole Blood,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Whole Blood\,Ileum:Whole Blood,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Vitreous Fluid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Vitreous Fluid\,Ileum:Vitreous Fluid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Gastric Fluid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Gastric Fluid\,Ileum:Gastric Fluid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Serum,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Serum\,Ileum:Serum,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Amniotic Fluid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Amniotic Fluid\,Ileum:Amniotic Fluid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Bile,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Bile\,Ileum:Bile,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Synovial Fluid,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Synovial Fluid\,Ileum:Synovial Fluid,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Serum,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Serum\","Overlapping lesion of rectum, anus and anal canal:Serum",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Amniotic Fluid,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Amniotic Fluid\","Overlapping lesion of rectum, anus and anal canal:Amniotic Fluid",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Fixed Tissue Slide,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Fixed Tissue Slide\","Cardia, NOS:Fixed Tissue Slide",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Bile,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Bile\","Overlapping lesion of rectum, anus and anal canal:Bile",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Fixed Tissue,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Fixed Tissue\","Overlapping lesion of rectum, anus and anal canal:Fixed Tissue",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Total Nucleic Acid,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Total Nucleic Acid\","Cardia, NOS:Total Nucleic Acid",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Whole Genome Amplified DNA,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Whole Genome Amplified DNA\","Cardia, NOS:Whole Genome Amplified DNA",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Frozen Cell Pellet,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Frozen Cell Pellet\","Cardia, NOS:Frozen Cell Pellet",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Fixed Cell Block,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Fixed Cell Block\","Cardia, NOS:Fixed Cell Block",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Frozen Cell Block,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Frozen Cell Block\","Cardia, NOS:Frozen Cell Block",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Cryopreserved Cells,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Cryopreserved Cells\","Cardia, NOS:Cryopreserved Cells",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Slide,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Slide\","Cardia, NOS:Slide",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Whole Bone Marrow,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Whole Bone Marrow\","Cardia, NOS:Whole Bone Marrow",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Plasma,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Plasma\","Cardia, NOS:Plasma",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Body Cavity Fluid,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Body Cavity Fluid\","Cardia, NOS:Body Cavity Fluid",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.0:Pericardial Fluid,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Cardia, NOS\Cardia, NOS:Pericardial Fluid\","Cardia, NOS:Pericardial Fluid",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Bile,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Bile\,Body of stomach:Bile,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Fixed Tissue Block,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Fixed Tissue Block\,Body of stomach:Fixed Tissue Block,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Frozen Tissue Block,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Frozen Tissue Block\,Body of stomach:Frozen Tissue Block,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Fixed Tissue Slide,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Fixed Tissue Slide\,Body of stomach:Fixed Tissue Slide,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Frozen Tissue Slide,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Frozen Tissue Slide\,Body of stomach:Frozen Tissue Slide,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Fresh Tissue,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Fresh Tissue\,Body of stomach:Fresh Tissue,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Microdissected,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Microdissected\,Body of stomach:Microdissected,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C16.2:Frozen Tissue,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Body of stomach\Body of stomach:Frozen Tissue\,Body of stomach:Frozen Tissue,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Fixed Tissue,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Fixed Tissue\,Ileum:Fixed Tissue,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Fixed Tissue Block,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Fixed Tissue Block\,Ileum:Fixed Tissue Block,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Frozen Tissue Block,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Frozen Tissue Block\,Ileum:Frozen Tissue Block,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Fixed Tissue Slide,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Fixed Tissue Slide\,Ileum:Fixed Tissue Slide,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Frozen Tissue Slide,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Frozen Tissue Slide\,Ileum:Frozen Tissue Slide,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Fresh Tissue,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Fresh Tissue\,Ileum:Fresh Tissue,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Microdissected,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Microdissected\,Ileum:Microdissected,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C17.2:Frozen Tissue,\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\SMALL INTESTINE\Ileum\Ileum:Frozen Tissue\,Ileum:Frozen Tissue,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
"C21.0:RNA, poly-A enriched","\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Anus, NOS\Anus, NOS:RNA, poly-A enriched\","Anus, NOS:RNA, poly-A enriched",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
"C21.0:RNA, nuclear","\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Anus, NOS\Anus, NOS:RNA, nuclear\","Anus, NOS:RNA, nuclear",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.0:protein,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Anus, NOS\Anus, NOS:protein\","Anus, NOS:protein",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Fixed Tissue Block,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Fixed Tissue Block\","Overlapping lesion of rectum, anus and anal canal:Fixed Tissue Block",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Frozen Tissue Block,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Frozen Tissue Block\","Overlapping lesion of rectum, anus and anal canal:Frozen Tissue Block",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Fixed Tissue Slide,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Fixed Tissue Slide\","Overlapping lesion of rectum, anus and anal canal:Fixed Tissue Slide",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Frozen Tissue Slide,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Frozen Tissue Slide\","Overlapping lesion of rectum, anus and anal canal:Frozen Tissue Slide",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Fresh Tissue,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Fresh Tissue\","Overlapping lesion of rectum, anus and anal canal:Fresh Tissue",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Microdissected,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Microdissected\","Overlapping lesion of rectum, anus and anal canal:Microdissected",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.8:Frozen Tissue,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Overlapping lesion of rectum, anus and anal canal\Overlapping lesion of rectum, anus and anal canal:Frozen Tissue\","Overlapping lesion of rectum, anus and anal canal:Frozen Tissue",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
"C16.9:RNA, poly-A enriched","\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Stomach, NOS\Stomach, NOS:RNA, poly-A enriched\","Stomach, NOS:RNA, poly-A enriched",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
"C16.9:RNA, nuclear","\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\STOMACH\Stomach, NOS\Stomach, NOS:RNA, nuclear\","Stomach, NOS:RNA, nuclear",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.2:Total Nucleic Acid,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Scrotum, NOS\Scrotum, NOS:Total Nucleic Acid\","Scrotum, NOS:Total Nucleic Acid",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.2:Whole Genome Amplified DNA,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Scrotum, NOS\Scrotum, NOS:Whole Genome Amplified DNA\","Scrotum, NOS:Whole Genome Amplified DNA",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C63.2:Frozen Cell Pellet,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\MALE GENITAL ORGANS\OTHER AND UNSPECIFIED MALE GENITAL ORGANS\Scrotum, NOS\Scrotum, NOS:Frozen Cell Pellet\","Scrotum, NOS:Frozen Cell Pellet",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.0:cDNA,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Anus, NOS\Anus, NOS:cDNA\","Anus, NOS:cDNA",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.0:RNA,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Anus, NOS\Anus, NOS:RNA\","Anus, NOS:RNA",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C21.0:DNA,"\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Anus, NOS\Anus, NOS:DNA\","Anus, NOS:DNA",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
"C21.0:RNA, cytoplasmic","\Private\UNSW-MCO\Biospecimens\Anatomical Site (ICD-O-3)\DIGESTIVE ORGANS\ANUS AND ANAL CANAL\Anus, NOS\Anus, NOS:RNA, cytoplasmic\","Anus, NOS:RNA, cytoplasmic",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
